26.07.17/1:52 PM SW ver:OXY10v3_33
Header Ch-10
Description: WWB2-9
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101775
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;1:52:05 PM;0.00;96.130;30.240;46084.000;9.000
26.07.17;1:52:20 PM;0.25;95.910;30.270;46106.000;9.000
26.07.17;1:52:35 PM;0.50;96.080;30.250;46097.000;9.000
26.07.17;1:52:50 PM;0.75;95.950;30.260;46096.000;9.000
26.07.17;1:53:05 PM;1.00;95.680;30.290;46060.000;9.000
26.07.17;1:53:20 PM;1.25;96.280;30.220;46064.000;9.000
26.07.17;1:53:35 PM;1.50;96.050;30.250;46066.000;9.000
26.07.17;1:53:50 PM;1.75;96.100;30.240;46064.000;9.000
26.07.17;1:54:05 PM;2.00;95.880;30.270;46028.000;9.000
26.07.17;1:54:20 PM;2.25;96.410;30.210;46044.000;9.000
26.07.17;1:54:35 PM;2.50;96.180;30.230;46013.000;9.000
26.07.17;1:54:50 PM;2.75;96.130;30.240;46007.000;9.000
26.07.17;1:55:05 PM;3.00;96.110;30.240;46045.000;9.000
26.07.17;1:55:20 PM;3.25;96.280;30.220;46022.000;9.000
26.07.17;1:55:35 PM;3.50;96.070;30.250;46017.000;9.000
26.07.17;1:55:50 PM;3.75;96.240;30.230;46034.000;9.000
