26.07.17/1:52 PM SW ver:OXY10v3_33
Header Ch-6
Description: WBJ2-9
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102012
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
26.07.17;1:52:00 PM;0.00;98.210;30.000;39908.000;9.000
26.07.17;1:52:12 PM;0.21;97.470;30.080;39898.000;9.000
26.07.17;1:52:27 PM;0.46;97.880;30.040;39955.000;9.000
26.07.17;1:52:42 PM;0.71;97.510;30.080;39929.000;9.000
26.07.17;1:52:57 PM;0.96;97.160;30.120;39940.000;9.000
26.07.17;1:53:12 PM;1.21;97.940;30.030;39942.000;9.000
26.07.17;1:53:27 PM;1.46;98.370;29.980;39947.000;9.000
26.07.17;1:53:42 PM;1.71;96.910;30.150;39933.000;9.000
26.07.17;1:53:57 PM;1.96;97.840;30.040;39884.000;9.000
26.07.17;1:54:12 PM;2.21;97.920;30.030;39960.000;9.000
26.07.17;1:54:27 PM;2.46;97.800;30.050;39903.000;9.000
26.07.17;1:54:42 PM;2.71;97.640;30.060;39930.000;9.000
26.07.17;1:54:57 PM;2.96;98.380;29.980;39951.000;9.000
26.07.17;1:55:12 PM;3.21;97.770;30.050;39911.000;9.000
26.07.17;1:55:27 PM;3.46;97.940;30.030;39895.000;9.000
26.07.17;1:55:42 PM;3.71;97.270;30.110;39967.000;9.000
26.07.17;1:55:57 PM;3.96;97.070;30.130;39930.000;9.000
26.07.17;1:56:12 PM;4.21;97.670;30.060;39867.000;9.000
26.07.17;1:56:27 PM;4.46;97.500;30.080;39927.000;9.000
26.07.17;1:56:42 PM;4.71;97.410;30.090;39921.000;9.000
26.07.17;1:56:57 PM;4.96;97.630;30.070;39896.000;9.000
26.07.17;1:57:12 PM;5.21;97.320;30.100;39935.000;9.000
26.07.17;1:57:27 PM;5.46;97.480;30.080;39961.000;9.000
26.07.17;1:57:42 PM;5.71;97.910;30.030;39917.000;9.000
26.07.17;1:57:57 PM;5.96;98.040;30.020;39908.000;9.000
26.07.17;1:58:12 PM;6.21;98.200;30.000;39975.000;9.000
26.07.17;1:58:27 PM;6.46;97.670;30.060;39949.000;9.000
26.07.17;1:58:42 PM;6.71;98.220;30.000;39922.000;9.000
26.07.17;1:58:57 PM;6.96;98.080;30.010;39882.000;9.000
26.07.17;1:59:12 PM;7.21;97.820;30.040;39955.000;9.000
26.07.17;1:59:27 PM;7.46;98.100;30.010;39954.000;9.000
26.07.17;1:59:42 PM;7.71;98.020;30.020;39921.000;9.000
26.07.17;1:59:57 PM;7.96;97.930;30.030;39932.000;9.000
26.07.17;2:00:12 PM;8.21;98.130;30.010;39937.000;9.000
26.07.17;2:00:27 PM;8.46;98.130;30.010;39931.000;9.000
26.07.17;2:00:42 PM;8.71;97.770;30.050;39960.000;9.000
26.07.17;2:00:57 PM;8.96;97.760;30.050;39944.000;9.000
26.07.17;2:01:12 PM;9.21;98.040;30.020;39930.000;9.000
26.07.17;2:01:27 PM;9.46;97.590;30.070;39957.000;9.000
26.07.17;2:01:42 PM;9.71;98.240;30.000;39931.000;9.000
26.07.17;2:01:57 PM;9.96;97.900;30.040;39945.000;9.000
26.07.17;2:02:12 PM;10.21;97.570;30.070;39969.000;9.000
26.07.17;2:02:27 PM;10.46;97.550;30.080;39921.000;9.000
26.07.17;2:02:42 PM;10.71;97.860;30.040;39931.000;9.000
26.07.17;2:02:57 PM;10.96;97.550;30.080;39930.000;9.000
26.07.17;2:03:12 PM;11.21;97.470;30.080;39969.000;9.000
26.07.17;2:03:27 PM;11.46;97.510;30.080;39958.000;9.000
26.07.17;2:03:42 PM;11.71;98.110;30.010;39930.000;9.000
26.07.17;2:03:57 PM;11.96;97.930;30.030;39905.000;9.000
26.07.17;2:04:12 PM;12.21;97.710;30.060;39931.000;9.000
26.07.17;2:04:27 PM;12.46;97.820;30.040;39977.000;9.000
26.07.17;2:04:42 PM;12.71;97.600;30.070;40005.000;9.000
26.07.17;2:04:57 PM;12.96;97.160;30.120;39945.000;9.000
26.07.17;2:05:12 PM;13.21;97.670;30.060;39972.000;9.000
26.07.17;2:05:27 PM;13.46;97.460;30.090;39954.000;9.000
26.07.17;2:05:42 PM;13.71;97.810;30.050;39970.000;9.000
26.07.17;2:05:57 PM;13.96;97.020;30.140;39965.000;9.000
26.07.17;2:06:12 PM;14.21;97.270;30.110;39964.000;9.000
26.07.17;2:06:27 PM;14.46;97.740;30.050;39938.000;9.000
26.07.17;2:06:42 PM;14.71;97.320;30.100;39952.000;9.000
26.07.17;2:06:57 PM;14.96;97.060;30.130;39995.000;9.000
26.07.17;2:07:12 PM;15.21;97.290;30.110;39983.000;9.000
26.07.17;2:07:27 PM;15.46;97.640;30.060;39987.000;9.000
26.07.17;2:07:42 PM;15.71;97.930;30.030;39982.000;9.000
26.07.17;2:07:57 PM;15.96;97.970;30.030;39941.000;9.000
26.07.17;2:08:12 PM;16.21;97.480;30.080;40011.000;9.000
26.07.17;2:08:27 PM;16.46;97.450;30.090;39969.000;9.000
26.07.17;2:08:42 PM;16.71;98.360;29.980;39953.000;9.000
26.07.17;2:08:57 PM;16.96;97.570;30.070;39965.000;9.000
26.07.17;2:09:12 PM;17.21;97.910;30.030;39989.000;9.000
26.07.17;2:09:27 PM;17.46;98.400;29.980;39989.000;9.000
26.07.17;2:09:42 PM;17.71;96.980;30.140;39965.000;9.000
26.07.17;2:09:57 PM;17.96;97.640;30.060;40018.000;9.000
26.07.17;2:10:12 PM;18.21;97.380;30.090;40011.000;9.000
26.07.17;2:10:27 PM;18.46;97.470;30.080;39972.000;9.000
26.07.17;2:10:42 PM;18.71;97.710;30.060;40012.000;9.000
26.07.17;2:10:57 PM;18.96;97.190;30.120;39959.000;9.000
26.07.17;2:11:12 PM;19.21;97.850;30.040;39998.000;9.000
