Chamber	Time/hh:mm:ss	Logtime/min	Oxy/% air sat.	Phase/°	Amp	Temp/°C	% air-sat.	% oxygen	pO2 (hPa)	pO2 (Torr)	cO2 [mg/L]	cO2 [µmol/L]	Salinity	chlorinity	SalCorcO2 [mg/L]	SalCorcO2 [µmol/L]
9	13:52:03	0.00	96.470	30.200	35784.000	9.000	96.519846	20.2209078	202.509099	151.894735	11.12813138	347.754106	35	19.3739612	8.85287147	276.652234
9	13:52:18	0.25	96.820	30.160	35805.000	9.000	96.863075	20.2928142	203.229230	152.434880	11.16770351	348.990735	35	19.3739612	8.88435268	277.636021
9	13:52:33	0.50	96.920	30.150	35793.000	9.000	96.949110	20.3108386	203.409741	152.570275	11.17762282	349.300713	35	19.3739612	8.89224389	277.882621
9	13:52:48	0.75	96.700	30.170	35826.000	9.000	96.777131	20.2748090	203.048911	152.299629	11.15779472	348.681085	35	19.3739612	8.87646985	277.389683
9	13:53:03	1.00	96.750	30.170	35782.000	9.000	96.777131	20.2748090	203.048911	152.299629	11.15779472	348.681085	35	19.3739612	8.87646985	277.389683
9	13:53:18	1.25	96.450	30.200	35796.000	9.000	96.519846	20.2209078	202.509099	151.894735	11.12813138	347.754106	35	19.3739612	8.85287147	276.652234
9	13:53:33	1.50	96.920	30.150	35809.000	9.000	96.949110	20.3108386	203.409741	152.570275	11.17762282	349.300713	35	19.3739612	8.89224389	277.882621
9	13:53:48	1.75	96.790	30.160	35785.000	9.000	96.863075	20.2928142	203.229230	152.434880	11.16770351	348.990735	35	19.3739612	8.88435268	277.636021
9	13:54:03	2.00	96.800	30.160	35791.000	9.000	96.863075	20.2928142	203.229230	152.434880	11.16770351	348.990735	35	19.3739612	8.88435268	277.636021
9	13:54:18	2.25	96.650	30.180	35810.000	9.000	96.691279	20.2568228	202.868783	152.164521	11.14789645	348.371764	35	19.3739612	8.86859537	277.143605
9	13:54:33	2.50	96.460	30.200	35778.000	9.000	96.519846	20.2209078	202.509099	151.894735	11.12813138	347.754106	35	19.3739612	8.85287147	276.652234
9	13:54:48	2.75	97.160	30.120	35779.000	9.000	97.207765	20.3650267	203.952427	152.977323	11.20744407	350.232627	35	19.3739612	8.91596787	278.623996
9	13:55:03	3.00	96.810	30.160	35766.000	9.000	96.863075	20.2928142	203.229230	152.434880	11.16770351	348.990735	35	19.3739612	8.88435268	277.636021
9	13:55:18	3.25	96.920	30.150	35780.000	9.000	96.949110	20.3108386	203.409741	152.570275	11.17762282	349.300713	35	19.3739612	8.89224389	277.882621
9	13:55:33	3.50	96.860	30.160	35782.000	9.000	96.863075	20.2928142	203.229230	152.434880	11.16770351	348.990735	35	19.3739612	8.88435268	277.636021
9	13:55:48	3.75	96.830	30.160	35780.000	9.000	96.863075	20.2928142	203.229230	152.434880	11.16770351	348.990735	35	19.3739612	8.88435268	277.636021
9	13:56:03	4.00	97.000	30.140	35796.000	9.000	97.035237	20.3288821	203.590444	152.705813	11.18755268	349.611021	35	19.3739612	8.90014348	278.129484
9	13:56:18	4.25	97.020	30.140	35761.000	9.000	97.035237	20.3288821	203.590444	152.705813	11.18755268	349.611021	35	19.3739612	8.90014348	278.129484
9	13:56:33	4.50	96.900	30.150	35787.000	9.000	96.949110	20.3108386	203.409741	152.570275	11.17762282	349.300713	35	19.3739612	8.89224389	277.882621
9	13:56:48	4.75	96.940	30.150	35757.000	9.000	96.949110	20.3108386	203.409741	152.570275	11.17762282	349.300713	35	19.3739612	8.89224389	277.882621
9	13:57:03	5.00	96.790	30.160	35758.000	9.000	96.863075	20.2928142	203.229230	152.434880	11.16770351	348.990735	35	19.3739612	8.88435268	277.636021
9	13:57:18	5.25	96.390	30.210	35774.000	9.000	96.434266	20.2029788	202.329543	151.760057	11.11826456	347.445767	35	19.3739612	8.84502202	276.406938
9	13:57:33	5.50	97.010	30.140	35753.000	9.000	97.035237	20.3288821	203.590444	152.705813	11.18755268	349.611021	35	19.3739612	8.90014348	278.129484
9	13:57:48	5.75	96.970	30.140	35771.000	9.000	97.035237	20.3288821	203.590444	152.705813	11.18755268	349.611021	35	19.3739612	8.90014348	278.129484
9	13:58:03	6.00	96.750	30.170	35795.000	9.000	96.777131	20.2748090	203.048911	152.299629	11.15779472	348.681085	35	19.3739612	8.87646985	277.389683
