term,E,Eh,lnc,Th,Topt,genotype,origin,color
mu,25.68639302,24.766255,39.54191259,280.3285876,301.7255402,TBE,va,brown
lwr_CI,5.164483042,4.287640071,4.310393346,279.3367117,301.7255402,TBE,va,brown
upr_CI,49.20991,48.3052075,79.67683346,282.6125302,301.7255402,TBE,va,brown
mu,6.573229306,15.23197134,8.388041821,377.5832311,303.3949759,TBF,va,brown
lwr_CI,0.828856992,1.02E-08,-1.340375874,275.8119156,297.827323,TBF,va,brown
upr_CI,46.09170522,58.62012244,76.30480718,330.9711187,312.2911286,TBF,va,brown
mu,2.634728182,23.06417706,2.622146302,302.2845328,304.4047722,TBG,va,brown
lwr_CI,0.462160647,7.81E-08,-1.046365684,278.2962388,298.6476595,TBG,va,brown
upr_CI,36.96752283,66.12948975,61.83708096,310.5032729,308.8003804,TBG,va,brown
mu,1.425868136,24.95654785,0.526437493,304.1705547,304.9453366,TBI,va,brown
lwr_CI,0.690228521,0.763762773,-0.767051578,277.7009392,303.1029442,TBI,va,brown
upr_CI,5.111410982,53.65546375,8.612344529,309.8914251,311.543682,TBI,va,brown
mu,9.759804928,13.84408917,14.7606774,837.7959614,304.8489221,TBL,va,brown
lwr_CI,0.447534167,3.51E-09,-1.298318428,261.0664907,295.8287459,TBL,va,brown
upr_CI,56.21572534,59.28093449,94.24420615,422.9370841,336.0262854,TBL,va,brown
mu,1.040721201,3.951798962,-0.588125437,302.1420576,300.1294516,TBM,va,brown
lwr_CI,0.98232314,3.362730678,-0.643111736,301.4343305,299.6463869,TBM,va,brown
upr_CI,1.093845574,4.695358047,-0.529011254,302.8247279,300.6338858,TBM,va,brown
mu,9.607924178,13.24126404,14.98001566,783.3811954,307.7343,TBN,va,brown
lwr_CI,0.518796129,2.44E-09,-1.006068831,268.2058636,299.7324958,TBN,va,brown
upr_CI,56.20076998,59.94087498,95.96231178,419.133597,328.6579359,TBN,va,brown
mu,6.580953208,14.85468399,8.241742799,1730.393244,300.4601746,TBO,va,brown
lwr_CI,0.351600101,7.90E-09,-1.712906791,268.9285638,287.4064651,TBO,va,brown
upr_CI,46.98815976,56.01418074,76.70786423,347.7931282,307.7802783,TBO,va,brown
mu,1.925221425,2.492153853,-0.11589138,295.6769442,300.404432,TWA,va,white
lwr_CI,1.637718608,2.020225445,-0.445676051,290.9694405,298.2632007,TWA,va,white
upr_CI,2.30863445,3.10539719,0.376482436,299.2029735,306.8166943,TWA,va,white
mu,12.69388884,18.29269496,15.82063902,507.2117883,289.9317527,TWD,va,white
lwr_CI,0.432513013,1.38E-08,-2.190302577,273.5032673,280.1976619,TWD,va,white
upr_CI,57.70416615,64.92779516,89.6180036,324.2129977,304.1196689,TWD,va,white
mu,27.11744596,26.57657546,42.97550822,279.9643403,NaN,TWH,va,white
lwr_CI,8.83302247,8.304545037,11.66539559,279.4267131,NA,TWH,va,white
upr_CI,51.50019853,50.92833998,84.68439917,280.9269078,NA,TWH,va,white
mu,2.44276327,12.8129287,2.54967392,302.2276081,301.4334359,TWI,va,white
lwr_CI,0.512665527,0.868921743,-0.576226099,278.9335247,296.8175127,TWI,va,white
upr_CI,34.80821214,57.79528294,58.37061232,306.5546276,304.6018618,TWI,va,white
mu,22.85939408,22.96537663,37.11926865,280.7684859,308.3019528,TWJ,va,white
lwr_CI,0.844986176,1.179691323,-1.082949084,277.601221,302.5817278,TWJ,va,white
upr_CI,60.15625466,60.31037057,100.875129,305.2478311,327.9641212,TWJ,va,white
mu,4.072066704,19.32388765,4.752565259,301.9690315,303.9654862,TWK,va,white
lwr_CI,0.714270633,5.49E-08,-1.031275779,277.6674509,300.4485624,TWK,va,white
upr_CI,40.85651297,65.35285153,68.69539897,310.8224249,311.1917166,TWK,va,white
mu,0.905223476,5.591642827,-0.634395725,303.8698783,301.5579559,TWL,va,white
lwr_CI,0.843121483,3.653166208,-0.694941945,303.0139299,300.7681111,TWL,va,white
upr_CI,0.972395442,8.813409355,-0.568475001,304.5911016,302.5336735,TWL,va,white
mu,7.361511475,14.99423214,10.48005989,435.2870687,302.5435194,TWM,va,white
lwr_CI,0.453829818,5.67E-09,-1.131116323,275.9168844,293.7061894,TWM,va,white
upr_CI,51.88477625,60.28185425,86.11435879,338.5443125,311.7387849,TWM,va,white
mu,28.14992939,27.4955,41.6895363,281.5740728,296.3424463,WBC,ri,brown
lwr_CI,3.390431246,3.87697261,0.228860958,279.3816974,289.5289212,WBC,ri,brown
upr_CI,63.22377886,62.46608815,102.1973024,290.6197218,304.1321659,WBC,ri,brown
mu,10.34563385,16.18556074,14.56462779,308.8100154,289.9315589,WBF,ri,brown
lwr_CI,0.184602034,6.72E-09,-1.733616868,256.7944376,27.95942975,WBF,ri,brown
upr_CI,51.89433197,57.03426848,85.10804174,364.2195353,308.2030456,WBF,ri,brown
mu,1.488472767,3.758748941,0.130935164,299.378455,300.8268779,WBG,ri,brown
lwr_CI,1.054148016,1.583475493,-0.396660425,289.4429245,298.2057567,WBG,ri,brown
upr_CI,2.051423575,8.328556229,0.831786427,304.2642053,305.5950277,WBG,ri,brown
mu,13.07331594,12.62288387,22.79572662,277.4434853,NaN,WBI,ri,brown
lwr_CI,3.722755935,3.275711634,6.762114872,274.8317182,NA,WBI,ri,brown
upr_CI,26.5559811,26.10538918,45.90202243,278.5951747,NA,WBI,ri,brown
mu,3.899229654,17.7310796,4.839398903,299.4822177,303.7168594,WBK,ri,brown
lwr_CI,0.584978564,3.91E-07,-0.817360508,278.095811,299.1831568,WBK,ri,brown
upr_CI,40.6784601,58.93463765,68.36438437,310.4893468,315.6695923,WBK,ri,brown
mu,21.54606662,22.17355861,34.88183027,523.3103797,302.2130312,WBN,ri,brown
lwr_CI,0.838932008,1.358533707,-0.446451625,278.5932267,293.5483595,WBN,ri,brown
upr_CI,55.34904236,55.56836487,93.40278547,305.0433377,318.4394097,WBN,ri,brown
mu,9.733532892,15.36647733,13.03202098,312.2557516,268.986088,WBO,ri,brown
lwr_CI,0,8.99E-09,-2.209024628,230.4573856,0,WBO,ri,brown
upr_CI,52.93404611,63.82291686,83.91379052,354.1127248,304.2828885,WBO,ri,brown
mu,12.61043042,17.11421096,17.6917112,9738.928775,254.7381229,WBP,ri,brown
lwr_CI,0,9.59E-09,-2.424258611,241.1192638,0,WBP,ri,brown
upr_CI,57.24154606,65.44189713,90.67512752,377.5709712,304.2209596,WBP,ri,brown
mu,31.52616898,31.13837288,48.40019009,280.3885015,NaN,WWB,ri,white
lwr_CI,13.85546785,13.48718459,18.11116453,279.6510594,NA,WWB,ri,white
upr_CI,58.73889295,58.37524833,95.04972564,281.3749852,NA,WWB,ri,white
mu,3.320303034,4.30565579,1.709750817,292.8616597,297.8392379,WWC,ri,white
lwr_CI,1.660006325,2.083458496,-0.522075389,281.7798019,293.5212058,WWC,ri,white
upr_CI,7.947758603,8.632369002,9.196705281,301.2740055,304.3430633,WWC,ri,white
mu,0.970127015,3.094077632,0.325259768,300.6705273,298.7351654,WWD,ri,white
