genotype,color,time,FvFm,origin,temp
BE1,brown,10,0.525,va,18
BE1,brown,10,0.522,va,18
BE1,brown,10,0.524,va,18
WH2,white,10,0.229,va,18
WH2,white,10,0.25,va,18
WH2,white,10,0.224,va,18
BE2,brown,10,0.504,va,18
BE2,brown,10,0.507,va,18
BE2,brown,10,0.491,va,18
WD1,white,10,0.221,va,18
WD1,white,10,0.123,va,18
WD1,white,10,0.117,va,18
WH3,white,10,0.308,va,18
WH3,white,10,0.091,va,18
WH3,white,10,0.227,va,18
BB3,brown,10,0.467,va,18
BB3,brown,10,0.326,va,18
BB3,brown,10,0.509,va,18
BE1,brown,11,0.513,va,18
BE1,brown,11,0.513,va,18
BE1,brown,11,0.491,va,18
WH2,white,11,0.172,va,18
WH2,white,11,0.172,va,18
WH2,white,11,0.082,va,18
BE2,brown,11,0.439,va,18
BE2,brown,11,0.465,va,18
BE2,brown,11,0.478,va,18
WD1,white,11,0.191,va,18
WD1,white,11,0.18,va,18
WD1,white,11,0.088,va,18
WH3,white,11,0.105,va,18
WH3,white,11,0.127,va,18
WH3,white,11,0.103,va,18
BB3,brown,11,0.436,va,18
BB3,brown,11,0.398,va,18
BB3,brown,11,0.459,va,18
BE1,brown,12,0.537,va,18
BE1,brown,12,0.479,va,18
BE1,brown,12,0.513,va,18
WH2,white,12,0.215,va,18
WH2,white,12,0.264,va,18
WH2,white,12,0.338,va,18
BE2,brown,12,0.469,va,18
BE2,brown,12,0.454,va,18
BE2,brown,12,0.448,va,18
WD1,white,12,0.113,va,18
WD1,white,12,0.233,va,18
WD1,white,12,0.257,va,18
WH3,white,12,0.274,va,18
WH3,white,12,0.323,va,18
WH3,white,12,0.148,va,18
BB3,brown,12,0.422,va,18
BB3,brown,12,0.321,va,18
BB3,brown,12,0.476,va,18
BE1,brown,1,0.508,va,18
BE1,brown,1,0.49,va,18
BE1,brown,1,0.529,va,18
WH2,white,1,0.18,va,18
WH2,white,1,0.368,va,18
WH2,white,1,0.111,va,18
BE2,brown,1,0.468,va,18
BE2,brown,1,0.461,va,18
BE2,brown,1,0.438,va,18
WD1,white,1,0.18,va,18
WD1,white,1,0.338,va,18
WD1,white,1,0.283,va,18
WH3,white,1,0.117,va,18
WH3,white,1,0.258,va,18
WH3,white,1,0.161,va,18
BB3,brown,1,0.36,va,18
BB3,brown,1,0.319,va,18
BB3,brown,1,0.422,va,18
BE1,brown,2,0.515,va,18
BE1,brown,2,0.501,va,18
BE1,brown,2,0.514,va,18
WH2,white,2,0.274,va,18
WH2,white,2,0.206,va,18
WH2,white,2,0.242,va,18
BE2,brown,2,0.468,va,18
BE2,brown,2,0.474,va,18
BE2,brown,2,0.474,va,18
WD1,white,2,0.239,va,18
WD1,white,2,0.323,va,18
WD1,white,2,0.387,va,18
WH3,white,2,0.25,va,18
WH3,white,2,0.169,va,18
WH3,white,2,0.222,va,18
BB3,brown,2,0.368,va,18
BB3,brown,2,0.256,va,18
BB3,brown,2,0.447,va,18
BE1,brown,3,0.524,va,18
BE1,brown,3,0.505,va,18
BE1,brown,3,0.512,va,18
WH2,white,3,0.017,va,18
WH2,white,3,0.213,va,18
WH2,white,3,0.194,va,18
BE2,brown,3,0.44,va,18
BE2,brown,3,0.492,va,18
BE2,brown,3,0.343,va,18
WD1,white,3,0.07,va,18
WD1,white,3,0.226,va,18
WD1,white,3,0.102,va,18
WH3,white,3,0.234,va,18
WH3,white,3,0.125,va,18
WH3,white,3,0.177,va,18
BB3,brown,3,0.469,va,18
BB3,brown,3,0.279,va,18
BB3,brown,3,0.472,va,18
